106,479,75
304,183,3
335,40,457
152,535,9
272,396,57
679,577,547
285,286,768
392,116,74
189,623,160
40,211,43
122,25,66
253,40,94
36,487,13
771,89,31
62,108,55
9,44,423
648,159,74
44,40,112
2,32,353
104,35,59
152,2,176
122,171,101
96,161,73
66,33,302
2,189,68
76,108,51
544,2,105
196,467,280
96,525,38
67,801,50
514,21,107
339,340,411
129,11,20
49,226,241
192,172,108
200,116,17
137,63,34
2,63,45
138,232,94
16,131,38
139,57,17
521,32,13
75,126,4
88,24,85
24,977,31
67,36,470
35,89,17
84,4,6
488,4,15
70,2,156
27,21,34
67,7,53
41,40,68
5,46,3
78,46,1
154,21,27
780,491,490
155,15,9
116,4,502
49,89,4
783,130,121
182,48,330
28,57,105
27,110,34
2,226,95
32,326,75
88,11,45
9,34,375
491,873,303
108,116,134
3,34,95
190,67,52
206,60,136
15,70,24
58,116,74
54,102,61
114,126,4
109,535,175
71,57,61
57,327,94
58,89,17
15,206,138
252,51,174
25,58,20
317,253,116
110,152,18
108,200,737
86,21,47
84,459,78
489,14,44
726,978,53
1052,993,467
162,21,50
106,66,105
126,9,199
200,51,16
86,2,129
398,315,34
304,86,32
3,66,4
280,281,401
72,73,13
25,66,66
110,36,721
48,109,45
594,24,4
7,110,17
107,66,61
6,50,101
144,110,1
21,108,19
2,59,456
313,95,13
102,28,34
640,297,183
11,12,374
32,84,34
185,60,136
97,98,38
58,583,298
403,159,52
121,40,29
145,55,74
354,2,34
9,102,13
488,526,45
108,4,502
416,55,157
550,551,717
31,6,178
31,66,17
218,93,16
346,7,17
748,66,165
675,6,115
58,110,55
137,66,35
291,102,217
46,58,34
191,192,17
25,26,4
7,28,423
77,55,504
23,63,13
2,58,73
420,67,50
25,11,66
2,26,17
152,200,34
3,52,125
9,185,913
5,24,9
644,492,490
2,41,565
49,70,87
718,768,50
457,32,17
36,102,25
333,67,108
46,35,45
896,68,156
46,35,176
403,368,461
58,219,17
34,66,29
5,26,17
21,36,80
268,25,832
440,94,104
15,187,37
393,25,17
2,326,108
49,104,420
240,252,514
51,289,256
231,358,215
243,161,75
7,37,275
86,277,28
2,200,36
185,2,647
16,333,24
4,23,1
504,440,111
32,36,61
24,89,24
2,582,14
161,127,35
21,2,460
28,54,52
32,66,74
33,263,129
7,28,22
141,186,280
2,232,17
55,137,116
51,289,122
88,35,1
31,58,155
9,67,52
3,28,16
127,161,73
67,3,301
33,44,302
141,750,187
602,552,265
35,41,217
675,6,81
90,144,125
432,86,165
98,25,38
70,90,69
6,47,46
102,947,13
326,33,34
40,212,74
24,89,153
499,300,187
505,184,22
880,881,16
36,326,116
161,127,269
53,291,457
28,25,376
266,921,511
25,90,101
658,903,1235
116,114,68
50,200,153
200,46,330
19,93,246
67,212,301
200,144,4
36,292,13
58,95,18
542,62,108
902,839,158
180,51,4
268,90,174
261,228,81
34,66,311
199,980,199
4,46,180
2,200,101
180,116,1
167,2,38
189,40,376
7,905,199
3,764,4
21,41,43
110,44,34
107,451,17
859,687,118
36,97,14
66,9,80
323,337,280
115,108,17
67,169,17
262,66,35
437,438,50
189,423,155
331,35,5
9,126,334
36,808,25
273,783,45
356,30,4
36,33,311
75,9,16
331,2,577
110,352,129
49,2,330
2,131,38
409,33,34
70,2,161
70,2,45
542,190,17
859,687,16
909,3,12
2,35,83
619,201,55
113,52,1
25,217,38
41,40,13
171,33,43
31,16,56
570,9,245
28,126,99
3,139,49
108,304,55
4,309,4
97,116,37
5,78,138
262,2,34
2,84,58
21,542,43
816,434,266
620,509,73
3,66,9
165,39,34
2,63,504
21,115,17
180,90,51
425,899,73
420,199,105
62,33,34
225,226,17
3,84,95
116,6,153
196,467,346
15,109,160
146,77,64
19,614,126
413,414,1099
5,364,160
655,9,34
169,54,22
832,1,0
561,620,104
89,243,138
241,261,244
58,748,199
31,4,456
155,495,9
2,95,18
816,434,1049
31,62,157
62,243,88
272,397,139
246,671,401
58,59,4
561,620,65
57,619,34
186,205,195
109,48,102
130,52,66
70,2,70
21,60,203
166,25,56
46,109,17
387,388,231
588,571,17
51,90,101
2,95,32
40,67,61
464,33,94
5,167,15
300,704,163
38,311,28
108,304,45
212,36,0
291,354,29
5,89,17
217,646,29
227,2,4
367,116,38
359,337,116
3,169,17
246,255,229
21,7,39
66,212,73
109,207,158
100,101,1159
173,60,136
248,24,970
371,38,324
109,2,52
62,2,28
108,4,264
46,2,18
186,205,183
249,155,17
2,58,138
575,177,46
4,116,353
155,2,156
49,62,16
200,51,56
525,24,45
152,49,31
58,116,126
81,498,96
152,16,178
86,110,4
67,3,61
492,491,411
110,66,388
386,63,4
159,1015,16
208,304,239
159,312,122
524,337,344
202,96,125
686,159,91
31,182,59
116,185,34
24,7,226
393,4,3
2,41,849
424,425,783
2,144,15
110,66,43
260,297,254
231,489,204
40,3,391
155,50,328
291,102,4
2,166,301
268,577,953
169,7,16
489,323,57
2,66,22
181,126,52
50,109,317
98,58,1
584,149,378
490,1022,53
97,25,248
9,36,16
262,9,64
572,556,73
405,297,443
260,625,24
161,127,32
50,535,138
356,30,14
28,32,17
535,16,4
403,159,73
46,62,17
49,304,38
9,516,13
48,35,102
378,60,136
200,182,70
479,3,22
185,2,50
137,107,34
25,187,281
410,153,31
62,2,273
248,409,38
2,153,56
5,58,82
0,1002,0
25,69,15
130,16,1
76,116,37
310,625,284
126,326,94
349,39,28
7,161,4
90,48,303
538,63,232
2,63,51
86,368,32
152,301,51
346,7,470
376,205,53
718,768,17
413,414,817
16,108,287
424,51,73
457,28,701
24,108,4
31,15,69
584,322,181
2,35,203
110,392,4
189,391,82
256,520,16
225,15,157
2,513,368
323,498,222
413,414,1187
160,4,38
327,86,34
894,751,203
392,46,45
231,14,133
653,224,222
70,4,153
62,883,38
185,2,28
2,109,85
233,473,68
110,66,55
35,155,237
200,90,4
290,88,66
89,116,15
2,32,5
407,251,98
36,40,40
28,32,388
972,973,18
31,200,178
900,86,17
60,185,36
184,323,3
137,63,146
297,641,195
49,109,66
653,224,108
51,62,166
108,4,138
152,2,156
11,200,17
146,77,13
354,21,375
180,90,56
656,295,660
35,16,303
50,2,37
289,51,142
416,55,870
196,776,167
60,2,17
88,426,4
293,89,56
152,301,17
3,172,13
69,66,69
182,50,161
54,55,18
250,177,109
70,2,364
2,75,375
146,728,868
446,304,66
7,655,116
86,21,826
200,108,15
631,161,75
46,2,328
16,739,56
597,82,57
46,152,66
317,651,68
556,388,46
172,161,129
74,436,456
16,50,73
304,183,1
159,252,409
