DB00927,DB00305,D002277
DB11942,DB00112,D009369
DB06273,DB00773,D015614
DB12154,DB08877,D006402
DB09037,DB15419,D009371
DB09499,DB00305,C562839
DB11714,DB11771,D014571
DB00928,DB15100,D007951
DB00072,DB12001,D012871
DB04572,DB00959,D011230
DB11906,DB01126,D004700
DB00441,DB06772,D009375
DB00864,DB12160,D001327
DB08899,DB11730,D005834
DB09029,DB11569,D012871
DB12887,DB01045,D002277
DB00515,DB15442,D009370
DB01101,DB00112,D005910
DB12483,DB06176,D007160
DB01033,DB00059,D007154
DB09073,DB09074,D009369
DB09146,DB00016,D002908
DB02546,DB00688,D015464
DB06769,DB00531,D002051
DB01075,DB00544,D009375
DB11595,DB00947,D012871
DB01101,DB00958,D009371
DB11945,DB05992,D007239
DB00773,DB00928,D007160
DB00958,DB00072,D001943
DB00987,DB01234,D010335
DB05239,DB11595,D010051
DB00422,DB00490,D064419
DB11776,DB14004,D017444
DB11596,DB00526,D004066
DB09035,DB14865,D002292
DB00687,DB05812,D014564
DB00773,DB16409,D055752
DB06186,DB05015,D009370
DB00072,DB00515,D009370
DB00959,DB11988,D007154
DB01234,DB00635,D009369
DB00741,DB00059,D008228
DB11986,DB11363,D009362
DB11841,DB09035,D007674
DB09037,DB15419,D009303
DB00947,DB00650,D002294
DB01248,DB09053,D014571
DB00987,DB00619,D007154
DB09110,DB04572,D015470
DB00773,DB00970,D001927
DB00773,DB00997,D018242
DB00254,DB09037,D009369
DB00531,DB09110,D010265
DB01234,DB00642,D001984
DB15471,DB00112,D003108
DB00361,DB00262,D008223
DB01217,DB12001,D008175
DB00530,DB00305,D004066
DB11967,DB11718,D009423
DB01229,DB00773,D013736
DB09331,DB00188,D000075122
DB09078,DB01101,D012871
DB00339,DB00331,D012141
DB00987,DB06595,D009370
DB01362,DB09255,D003920
DB00987,DB00997,D008232
DB13878,DB13879,D006526
DB00958,DB00515,D008654
DB08889,DB01075,D008232
DB00073,DB08910,D006566
DB01073,DB01008,D007680
DB09037,DB00958,D004067
DB14892,DB11791,D013899
DB01098,DB01076,D003920
DB12827,DB00853,D018242
DB00987,DB01033,D007945
DB00531,DB11945,D012871
DB00297,DB00482,D059373
DB01229,DB11714,D012142
DB00345,DB01362,D007674
DB00544,DB00112,D008107
DB01224,DB01104,D001526
DB01211,DB00480,D007160
DB06186,DB08875,D018200
DB06643,DB11866,D013118
DB01229,DB00002,D006258
DB15151,DB11581,D009369
DB00526,DB14922,D009369
DB00958,DB09035,D008171
DB11873,DB00091,D051437
DB00982,DB00530,D009380
DB09037,DB11815,D008171
DB01075,DB00563,D006402
DB00007,DB00499,D012008
DB00087,DB01073,D008232
DB00544,DB01101,D004700
DB09053,DB09570,D008228
DB06186,DB00112,D001932
DB06206,DB00433,D009325
DB00762,DB00112,D010265
DB00762,DB09073,D018213
DB00316,DB00514,D006984
DB09037,DB16383,D013899
DB01229,DB09037,D001943
DB00530,DB06287,D009371
DB01073,DB01008,D004067
DB00958,DB06168,D002283
DB00515,DB15442,D001749
DB09110,DB09052,D001855
DB01101,DB00544,D008206
DB11771,DB00515,D012142
DB00927,DB00544,D009369
DB00441,DB01234,D000230
DB01234,DB00531,D009369
DB09053,DB09037,D007154
DB00531,DB00650,D003108
DB00196,DB01263,D003141
DB00544,DB08896,D003108
DB01101,DB00650,D012142
DB00688,DB09110,D007160
DB01030,DB11740,D014594
DB06699,DB00635,D005834
DB00531,DB09312,D016403
DB01033,DB00352,D008232
DB01234,DB06317,D009369
DB09037,DB09035,D009375
DB00688,DB11693,D008180
DB06186,DB00112,D009370
DB01221,DB00818,D009422
DB01075,DB09312,D016393
DB00951,DB01045,D014390
DB12015,DB00331,D009371
DB00188,DB08889,D020141
DB09331,DB11942,D007160
DB00297,DB01221,D009369
DB12483,DB09035,D005770
DB09296,DB00811,D010335
DB00811,DB09183,D003141
DB00773,DB00437,D001796
DB00072,DB09037,D016543
DB00563,DB00316,D009369
DB15286,DB01229,D001661
DB00364,DB00316,D006232
DB00635,DB08935,D008232
DB01008,DB00688,D009369
DB01042,DB06769,D007154
DB00515,DB00958,D000230
DB05109,DB00762,D009369
DB00531,DB00087,D007951
DB08910,DB00480,D010265
DB09037,DB02546,D018302
DB01008,DB01073,D004194
DB00099,DB00098,D005759
DB09074,DB01101,D009371
DB00297,DB00465,D010409
DB05154,DB00951,D012140
DB00531,DB00480,D008206
